rider_id,name,city,signup_date,rating
48,Reyansh Nair,Hyderabad,2024-06-30,4.8
49,Vivaan Sharma,Hyderabad,2024-01-28,4.59
50,Vihaan Singh,Delhi,2024-02-25,4.3
51,Reyansh Reddy,Bangalore,2024-03-12,4.19
52,Krishna Yadav,Mumbai,2024-02-08,3.58
53,Aarav Patel,Kolkata,2024-10-03,4.77
54,Reyansh Gupta,Hyderabad,2024-03-26,3.82
55,Aarav Reddy,Hyderabad,2024-07-24,3.5
56,Arjun Gupta,Bangalore,2024-07-18,4.13
57,Krishna Reddy,Delhi,2024-10-11,3.95
58,Kabir Yadav,Mumbai,2024-01-30,4.62
59,Aarav Joshi,Hyderabad,2024-01-30,4.25
60,Aditya Sharma,Pune,2024-09-28,3.62
61,Vivaan Joshi,Mumbai,2024-04-05,4.51
62,Reyansh Patel,Pune,2024-04-30,3.87
63,Aarav Joshi,Mumbai,2024-10-31,4.13
64,Kabir Yadav,Bangalore,2024-10-25,4.9
65,Sai Singh,Bangalore,2024-04-14,4.09
66,Arjun Gupta,Bangalore,2024-12-09,4.89
67,Aarav Gupta,Pune,2024-02-07,5.0
68,Vivaan Yadav,Delhi,2024-02-21,4.26
69,Sai Patel,Delhi,2024-03-08,4.05
70,Krishna Yadav,Chennai,2024-03-21,3.95
71,Ishaan Sharma,Chennai,2024-11-30,4.73
72,Vivaan Reddy,Bangalore,2024-06-02,3.67
73,Ishaan Reddy,Bangalore,2024-02-24,3.92
74,Sai Singh,Chennai,2024-04-17,4.45
75,Ishaan Gupta,Bangalore,2024-05-15,4.86
76,Vivaan Nair,Kolkata,2024-01-27,3.92
77,Sai Reddy,Chennai,2024-01-02,4.97
78,Krishna Yadav,Chennai,2024-03-23,4.14
79,Vivaan Patel,Chennai,2024-01-05,4.86
80,Aarav Verma,Pune,2024-10-06,4.33
81,Aditya Sharma,Bangalore,2024-08-08,4.05
82,Sai Singh,Chennai,2024-01-21,3.87
83,Sai Yadav,Kolkata,2024-02-22,4.11
84,Aditya Singh,Kolkata,2024-11-13,3.74
85,Reyansh Sharma,Delhi,2024-03-31,4.6
86,Reyansh Singh,Bangalore,2024-06-19,3.74
87,Vivaan Nair,Kolkata,2024-12-25,3.56
88,Vihaan Singh,Kolkata,2024-08-28,4.88
89,Arjun Singh,Delhi,2024-06-28,3.54
90,Reyansh Verma,Bangalore,2024-04-08,4.8
91,Sai Yadav,Hyderabad,2024-05-22,4.52
92,Sai Sharma,Mumbai,2024-10-01,4.82
93,Aditya Joshi,Bangalore,2024-05-13,3.56
94,Reyansh Verma,Chennai,2024-11-01,4.68
95,Kabir Yadav,Mumbai,2024-08-11,4.08
96,Vihaan Khan,Mumbai,2024-10-22,4.56
97,Ishaan Yadav,Chennai,2024-01-01,4.58
98,Vihaan Verma,Hyderabad,2024-12-09,3.6
99,Sai Joshi,Bangalore,2024-12-06,4.5
100,Arjun Yadav,Bangalore,2024-03-04,4.5
101,Reyansh Khan,Pune,2024-06-16,3.69
102,Reyansh Reddy,Pune,2024-08-03,4.35
103,Ishaan Sharma,Bangalore,2024-07-26,3.93
104,Kabir Joshi,Chennai,2024-08-08,3.98
105,Krishna Singh,Pune,2024-08-14,4.21
106,Vivaan Khan,Pune,2024-03-27,4.5
107,Sai Patel,Kolkata,2024-11-13,4.93
108,Arjun Singh,Kolkata,2024-04-30,3.8
109,Aarav Singh,Hyderabad,2024-01-13,4.42
110,Krishna Nair,Chennai,2024-02-07,4.36
111,Reyansh Gupta,Hyderabad,2024-12-22,3.87
112,Aarav Patel,Kolkata,2024-12-01,4.14
113,Ishaan Gupta,Mumbai,2024-03-31,4.34
114,Krishna Reddy,Kolkata,2024-03-03,4.2
115,Ishaan Joshi,Bangalore,2024-09-28,4.93
116,Kabir Yadav,Hyderabad,2024-08-14,4.75
117,Krishna Reddy,Chennai,2024-10-07,4.79
118,Arjun Singh,Kolkata,2024-08-18,4.46
119,Krishna Singh,Bangalore,2024-09-23,4.16
120,Arjun Singh,Bangalore,2024-12-31,4.0
121,Vivaan Reddy,Delhi,2024-10-03,3.85
122,Aditya Singh,Mumbai,2024-12-21,4.12
123,Ishaan Gupta,Hyderabad,2024-06-18,3.59
124,Reyansh Joshi,Chennai,2024-08-03,3.53
125,Reyansh Gupta,Mumbai,2024-10-21,4.91
126,Reyansh Nair,Pune,2024-06-01,4.62
127,Kabir Singh,Hyderabad,2024-10-06,3.83
128,Krishna Sharma,Hyderabad,2024-08-11,4.0
129,Reyansh Reddy,Kolkata,2024-12-13,4.2
130,Kabir Yadav,Mumbai,2024-03-06,4.86
131,Kabir Sharma,Mumbai,2024-10-30,4.46
132,Krishna Reddy,Mumbai,2024-03-10,3.89
133,Vihaan Gupta,Bangalore,2024-06-16,4.01
134,Arjun Nair,Bangalore,2024-07-13,4.75
135,Aarav Yadav,Mumbai,2024-08-28,5.0
136,Vihaan Patel,Kolkata,2024-06-28,4.94
137,Aarav Singh,Delhi,2024-01-21,4.76
138,Aditya Singh,Delhi,2024-11-14,4.21
139,Kabir Singh,Hyderabad,2024-02-28,4.55
140,Aditya Joshi,Pune,2024-07-07,4.95
141,Aditya Khan,Mumbai,2024-02-28,4.37
142,Kabir Nair,Hyderabad,2024-06-08,4.91
143,Vivaan Joshi,Chennai,2024-04-11,4.75
144,Vivaan Khan,Kolkata,2024-05-04,4.53
145,Kabir Sharma,Bangalore,2024-03-02,4.3
146,Sai Patel,Pune,2024-12-04,4.47
147,Reyansh Gupta,Mumbai,2024-01-07,4.15
148,Krishna Reddy,Hyderabad,2024-07-04,3.76
149,Arjun Joshi,Kolkata,2024-09-24,4.88
150,Krishna Nair,Kolkata,2024-09-04,4.6
151,Sai Singh,Kolkata,2024-05-17,4.9
152,Krishna Singh,Kolkata,2024-05-22,4.2
153,Reyansh Verma,Mumbai,2024-11-08,4.24
154,Aditya Gupta,Delhi,2024-06-15,4.03
155,Sai Khan,Pune,2024-05-12,4.55
156,Ishaan Sharma,Pune,2024-05-21,4.92
157,Vihaan Nair,Hyderabad,2024-02-13,4.33
158,Krishna Gupta,Hyderabad,2024-05-03,4.69
159,Arjun Singh,Hyderabad,2024-02-17,4.54
160,Kabir Verma,Hyderabad,2024-06-05,4.33
161,Reyansh Yadav,Bangalore,2024-06-25,4.03
162,Arjun Khan,Bangalore,2024-08-20,3.85
163,Sai Patel,Chennai,2024-04-08,4.3
164,Aditya Singh,Delhi,2024-12-19,4.61
165,Kabir Yadav,Pune,2024-05-21,3.92
166,Vihaan Khan,Delhi,2024-02-21,4.04
167,Aarav Yadav,Delhi,2024-06-03,3.91
168,Ishaan Khan,Chennai,2024-01-28,4.92
169,Krishna Patel,Kolkata,2024-11-22,3.52
170,Krishna Gupta,Hyderabad,2024-05-25,4.01
171,Arjun Gupta,Mumbai,2024-01-27,4.73
172,Krishna Patel,Pune,2024-07-24,4.44
173,Aditya Reddy,Kolkata,2024-01-28,4.34
174,Vivaan Singh,Mumbai,2024-06-04,4.34
175,Kabir Joshi,Kolkata,2024-08-01,4.43
176,Reyansh Gupta,Hyderabad,2024-09-24,3.95
177,Reyansh Khan,Pune,2024-10-28,4.43
178,Vivaan Singh,Chennai,2024-11-08,3.82
179,Vivaan Reddy,Delhi,2024-12-04,3.76
180,Aditya Sharma,Hyderabad,2024-02-08,4.18
181,Krishna Khan,Mumbai,2024-10-31,3.85
182,Arjun Gupta,Mumbai,2024-12-27,4.53
183,Kabir Singh,Hyderabad,2024-05-15,3.67
184,Aditya Khan,Kolkata,2024-04-25,3.71
185,Aditya Khan,Pune,2024-01-31,4.62
186,Arjun Gupta,Mumbai,2024-10-18,4.2
187,Reyansh Khan,Pune,2024-06-04,4.31
188,Vivaan Joshi,Mumbai,2024-08-12,4.83
189,Kabir Khan,Mumbai,2024-06-14,3.64
190,Kabir Joshi,Mumbai,2024-12-11,5.0
191,Arjun Joshi,Mumbai,2024-12-10,4.64
192,Krishna Yadav,Chennai,2024-03-30,4.16
193,Aditya Joshi,Hyderabad,2024-05-22,4.45
194,Vivaan Gupta,Bangalore,2024-09-08,4.11
195,Vivaan Reddy,Bangalore,2024-06-13,4.12
196,Arjun Nair,Kolkata,2024-09-10,4.64
197,Krishna Patel,Bangalore,2024-01-19,3.88
198,Reyansh Yadav,Kolkata,2024-02-29,4.98
199,Ishaan Gupta,Hyderabad,2024-12-02,3.58
200,Sai Joshi,Kolkata,2024-09-22,4.25
201,Aarav Singh,Bangalore,2024-08-14,4.32
202,Krishna Gupta,Mumbai,2024-05-27,3.54
203,Kabir Singh,Chennai,2024-11-18,3.74
204,Aarav Yadav,Hyderabad,2024-10-09,3.64
205,Krishna Patel,Chennai,2024-02-28,4.75
206,Arjun Yadav,Chennai,2024-09-12,3.91
207,Krishna Singh,Hyderabad,2024-09-04,4.33
208,Vihaan Joshi,Pune,2024-07-15,4.62
209,Vivaan Khan,Kolkata,2024-03-10,4.69
210,Sai Yadav,Bangalore,2024-07-31,4.73
211,Arjun Joshi,Pune,2024-05-24,5.0
212,Aditya Gupta,Pune,2024-09-07,4.23
213,Ishaan Yadav,Hyderabad,2024-06-19,4.18
214,Vihaan Singh,Pune,2024-06-13,4.07
215,Aarav Verma,Chennai,2024-07-29,4.21
216,Reyansh Reddy,Hyderabad,2024-07-14,4.95
217,Ishaan Joshi,Bangalore,2024-03-05,4.8
218,Vivaan Yadav,Hyderabad,2024-08-13,3.52
219,Reyansh Reddy,Mumbai,2024-03-14,4.2
220,Sai Joshi,Chennai,2024-05-15,4.1
221,Sai Yadav,Hyderabad,2024-02-11,4.93
222,Krishna Yadav,Mumbai,2024-11-16,4.43
223,Arjun Singh,Chennai,2024-04-30,3.64
224,Vivaan Gupta,Delhi,2024-02-20,4.54
225,Aarav Verma,Kolkata,2024-01-15,3.58
226,Sai Nair,Delhi,2024-07-02,3.87
227,Kabir Reddy,Delhi,2024-07-29,3.76
228,Reyansh Joshi,Chennai,2024-11-08,3.86
229,Aditya Singh,Hyderabad,2024-10-25,4.46
230,Arjun Sharma,Kolkata,2024-08-23,4.2
231,Ishaan Reddy,Mumbai,2024-05-27,4.16
232,Kabir Khan,Chennai,2024-06-25,4.94
233,Arjun Gupta,Kolkata,2024-12-19,3.95
234,Krishna Patel,Delhi,2024-07-15,4.07
235,Kabir Khan,Chennai,2024-07-02,3.94
236,Reyansh Khan,Mumbai,2024-12-03,4.35
237,Aarav Joshi,Chennai,2024-12-17,4.25
238,Vihaan Joshi,Kolkata,2024-05-26,4.03
239,Vihaan Joshi,Bangalore,2024-11-21,4.52
240,Aditya Patel,Chennai,2024-12-03,4.47
241,Krishna Sharma,Pune,2024-06-07,4.05
242,Vivaan Khan,Bangalore,2024-03-08,4.62
243,Vihaan Reddy,Kolkata,2024-03-30,4.31
244,Ishaan Yadav,Bangalore,2024-07-06,4.75
245,Krishna Khan,Chennai,2024-05-11,4.81
246,Krishna Patel,Delhi,2024-02-28,4.63
247,Reyansh Yadav,Bangalore,2024-04-25,3.64
248,Aarav Khan,Pune,2024-07-21,3.69
249,Arjun Joshi,Hyderabad,2024-07-07,4.73
250,Vivaan Singh,Hyderabad,2024-07-09,3.54
251,Sai Joshi,Delhi,2024-10-14,4.47
252,Krishna Khan,Chennai,2024-11-21,4.11
253,Aarav Sharma,Bangalore,2024-03-12,4.99
254,Vivaan Singh,Pune,2024-02-29,3.7
255,Sai Yadav,Hyderabad,2024-08-20,4.38
256,Reyansh Patel,Kolkata,2024-03-20,4.23
257,Arjun Sharma,Chennai,2024-07-27,4.06
258,Krishna Singh,Kolkata,2024-08-15,4.04
259,Sai Yadav,Chennai,2024-12-17,4.04
260,Arjun Singh,Mumbai,2024-07-22,4.92
261,Vivaan Singh,Chennai,2024-08-20,4.46
262,Aarav Verma,Delhi,2024-01-11,4.98
263,Vihaan Patel,Kolkata,2024-10-16,4.65
264,Kabir Singh,Kolkata,2024-04-16,4.8
265,Aditya Joshi,Mumbai,2024-06-17,3.92
266,Aditya Yadav,Bangalore,2024-03-15,4.7
267,Aarav Reddy,Mumbai,2024-02-26,4.04
268,Kabir Verma,Mumbai,2024-05-01,3.76
269,Aditya Nair,Pune,2024-01-27,3.67
270,Krishna Gupta,Kolkata,2024-02-02,4.04
271,Vivaan Gupta,Pune,2024-10-30,3.83
272,Aarav Yadav,Bangalore,2024-11-10,4.19
273,Aarav Gupta,Kolkata,2024-01-16,4.1
274,Vivaan Gupta,Chennai,2024-12-17,4.86
275,Vivaan Verma,Pune,2024-02-07,3.72
276,Arjun Joshi,Chennai,2024-03-05,4.38
277,Sai Nair,Pune,2024-12-30,4.3
278,Ishaan Joshi,Hyderabad,2024-08-20,3.65
279,Vivaan Yadav,Chennai,2024-12-25,4.8
280,Krishna Singh,Hyderabad,2024-08-08,4.01
281,Reyansh Nair,Chennai,2024-08-20,3.64
282,Sai Khan,Bangalore,2024-08-06,4.93
283,Krishna Patel,Mumbai,2024-12-17,4.75
284,Reyansh Patel,Chennai,2024-02-17,4.61
285,Ishaan Sharma,Pune,2024-03-07,4.93
286,Sai Patel,Hyderabad,2024-10-14,4.03
287,Reyansh Sharma,Bangalore,2024-12-06,4.4
288,Vivaan Joshi,Pune,2024-06-29,3.82
289,Krishna Singh,Kolkata,2024-12-02,3.66
290,Sai Patel,Kolkata,2024-10-11,3.92
291,Reyansh Yadav,Kolkata,2024-04-25,4.73
292,Ishaan Sharma,Pune,2024-11-10,4.89
293,Arjun Sharma,Delhi,2024-12-21,3.91
294,Sai Verma,Mumbai,2024-06-07,3.77
295,Kabir Nair,Mumbai,2024-03-14,3.71
296,Aarav Patel,Chennai,2024-11-20,4.3
297,Reyansh Gupta,Bangalore,2024-07-11,3.74
298,Sai Joshi,Pune,2024-06-08,3.63
299,Aditya Reddy,Kolkata,2024-01-27,4.43
300,Vivaan Khan,Hyderabad,2024-12-11,4.49
301,Kabir Gupta,Hyderabad,2024-09-05,3.91
302,Vivaan Verma,Hyderabad,2024-09-19,3.67
303,Kabir Gupta,Pune,2024-12-13,4.5
304,Vihaan Nair,Pune,2024-01-24,3.58
305,Arjun Singh,Kolkata,2024-04-14,3.71
306,Arjun Verma,Mumbai,2024-05-10,3.51
307,Aditya Reddy,Hyderabad,2024-08-08,4.3
308,Ishaan Yadav,Kolkata,2024-04-27,4.5
309,Vivaan Nair,Kolkata,2024-06-30,4.61
310,Aarav Gupta,Mumbai,2024-08-11,4.79
311,Reyansh Joshi,Hyderabad,2024-10-21,4.56
312,Arjun Patel,Hyderabad,2024-08-01,3.53
313,Aditya Joshi,Hyderabad,2024-06-15,4.75
314,Vivaan Nair,Kolkata,2024-07-04,3.66
315,Kabir Nair,Pune,2024-08-11,3.62
316,Sai Singh,Bangalore,2024-06-07,4.67
317,Ishaan Patel,Pune,2024-02-09,4.26
318,Sai Reddy,Delhi,2024-06-27,3.65
319,Vihaan Reddy,Pune,2024-05-11,3.73
320,Vivaan Reddy,Kolkata,2024-12-01,4.44
321,Kabir Joshi,Hyderabad,2024-08-25,4.52
322,Kabir Verma,Kolkata,2024-10-16,4.96
323,Aditya Gupta,Mumbai,2024-06-10,4.2
324,Arjun Khan,Pune,2024-11-19,3.58
325,Vivaan Khan,Hyderabad,2024-09-16,4.18
326,Sai Khan,Mumbai,2024-01-30,4.47
327,Kabir Joshi,Pune,2024-02-16,4.08
328,Ishaan Sharma,Hyderabad,2024-10-24,4.86
329,Vihaan Verma,Pune,2024-10-19,4.21
330,Aarav Gupta,Mumbai,2024-03-18,4.72
331,Vivaan Yadav,Chennai,2024-06-24,3.76
332,Krishna Gupta,Pune,2024-05-06,4.28
333,Sai Verma,Bangalore,2024-03-22,4.08
334,Kabir Sharma,Kolkata,2024-06-22,4.45
335,Vivaan Verma,Mumbai,2024-06-20,4.34
336,Arjun Khan,Chennai,2024-07-16,4.78
337,Aditya Verma,Mumbai,2024-11-04,4.37
338,Sai Khan,Chennai,2024-03-13,4.55
339,Aditya Joshi,Chennai,2024-07-19,4.91
340,Ishaan Nair,Chennai,2024-06-07,4.69
341,Ishaan Patel,Chennai,2024-03-06,4.51
342,Sai Sharma,Bangalore,2024-09-17,3.96
343,Sai Gupta,Delhi,2024-04-19,3.84
344,Aditya Patel,Bangalore,2024-03-11,4.77
345,Ishaan Yadav,Kolkata,2024-02-21,4.61
346,Aarav Verma,Kolkata,2024-09-26,4.43
347,Reyansh Reddy,Delhi,2024-11-01,3.77
348,Kabir Reddy,Chennai,2024-12-20,4.16
349,Sai Singh,Hyderabad,2024-07-29,4.42
350,Vihaan Yadav,Delhi,2024-08-17,3.96
351,Vihaan Verma,Chennai,2024-08-28,4.92
352,Krishna Khan,Kolkata,2024-08-13,4.07
353,Reyansh Reddy,Kolkata,2024-09-27,3.8
354,Aditya Khan,Mumbai,2024-11-05,4.46
355,Ishaan Patel,Chennai,2024-07-09,4.77
356,Arjun Patel,Kolkata,2024-03-04,3.74
357,Ishaan Reddy,Kolkata,2024-08-18,4.16
358,Krishna Verma,Mumbai,2024-04-23,4.12
359,Ishaan Verma,Delhi,2024-07-21,4.08
360,Sai Singh,Mumbai,2024-02-11,3.98
361,Sai Reddy,Delhi,2024-02-20,3.56
362,Aditya Gupta,Hyderabad,2024-08-29,4.42
363,Aarav Khan,Delhi,2024-02-10,4.75
364,Kabir Yadav,Hyderabad,2024-10-07,3.67
365,Vihaan Khan,Mumbai,2024-05-27,3.57
366,Kabir Gupta,Mumbai,2024-08-02,3.67
367,Kabir Yadav,Mumbai,2024-09-12,4.45
368,Vihaan Reddy,Bangalore,2024-10-21,4.14
369,Sai Singh,Pune,2024-11-10,4.12
370,Vivaan Yadav,Bangalore,2024-12-06,3.6
371,Ishaan Yadav,Kolkata,2024-09-26,4.98
372,Aarav Nair,Kolkata,2024-10-10,4.21
373,Reyansh Verma,Bangalore,2024-11-21,4.62
374,Vivaan Verma,Delhi,2024-07-01,4.6
375,Vivaan Joshi,Chennai,2024-11-17,4.64
376,Aarav Verma,Pune,2024-03-09,4.01
377,Aditya Gupta,Chennai,2024-11-25,4.22
378,Aditya Patel,Chennai,2024-04-03,4.66
379,Aarav Khan,Delhi,2024-08-22,3.57
380,Aarav Verma,Bangalore,2024-04-12,4.27
381,Krishna Khan,Mumbai,2024-10-05,4.63
382,Arjun Verma,Kolkata,2024-04-07,4.67
383,Sai Khan,Mumbai,2024-12-01,4.7
384,Reyansh Gupta,Hyderabad,2024-08-11,4.01
385,Krishna Gupta,Bangalore,2024-04-05,4.89
386,Arjun Patel,Chennai,2024-09-22,4.14
387,Kabir Reddy,Pune,2024-08-08,3.94
388,Vivaan Verma,Chennai,2024-02-22,3.94
389,Kabir Nair,Delhi,2024-08-16,4.53
390,Krishna Sharma,Chennai,2024-06-28,4.81
391,Kabir Nair,Bangalore,2024-06-29,4.46
392,Vivaan Nair,Bangalore,2024-01-30,4.27
393,Aditya Sharma,Delhi,2024-12-13,4.77
394,Krishna Sharma,Delhi,2024-12-13,3.6
395,Sai Verma,Hyderabad,2024-11-26,4.92
396,Kabir Reddy,Chennai,2024-01-17,4.17
397,Sai Gupta,Kolkata,2024-07-08,3.62
398,Ishaan Verma,Hyderabad,2024-03-11,3.97
399,Vihaan Patel,Mumbai,2024-05-22,4.6
400,Ishaan Nair,Pune,2024-09-12,3.68
401,Krishna Singh,Pune,2024-05-13,3.93
402,Vihaan Patel,Delhi,2024-09-08,4.78
403,Aditya Gupta,Mumbai,2024-08-19,4.72
404,Sai Patel,Pune,2024-06-12,4.31
405,Aditya Reddy,Kolkata,2024-06-02,4.04
406,Vivaan Singh,Kolkata,2024-04-24,3.71
407,Aarav Verma,Pune,2024-09-09,4.36
408,Ishaan Reddy,Pune,2024-08-27,4.83
409,Arjun Nair,Chennai,2024-02-03,4.58
410,Reyansh Nair,Kolkata,2024-09-26,4.36
411,Sai Patel,Hyderabad,2024-03-05,4.2
412,Sai Reddy,Kolkata,2024-09-21,4.67
413,Kabir Reddy,Kolkata,2024-11-23,4.95
414,Ishaan Sharma,Kolkata,2024-08-09,3.69
415,Arjun Reddy,Delhi,2024-03-19,3.98
416,Vihaan Verma,Pune,2024-12-29,4.84
417,Arjun Singh,Chennai,2024-02-10,4.93
418,Aditya Khan,Pune,2024-05-20,4.3
419,Aditya Joshi,Pune,2024-09-14,3.73
420,Kabir Joshi,Bangalore,2024-12-03,4.76
421,Aarav Sharma,Mumbai,2024-10-15,3.57
422,Kabir Khan,Chennai,2024-11-24,3.82
423,Reyansh Joshi,Chennai,2024-10-19,3.55
424,Ishaan Khan,Chennai,2024-11-17,4.93
425,Vihaan Nair,Bangalore,2024-09-04,4.18
426,Aarav Reddy,Hyderabad,2024-12-18,4.12
427,Vihaan Verma,Pune,2024-08-25,3.72
428,Sai Nair,Delhi,2024-06-12,4.64
429,Ishaan Patel,Bangalore,2024-09-20,3.86
430,Arjun Gupta,Delhi,2024-03-03,3.71
431,Arjun Nair,Kolkata,2024-01-26,4.42
432,Aditya Verma,Pune,2024-05-07,4.58
433,Aditya Gupta,Pune,2024-04-07,4.2
434,Krishna Sharma,Mumbai,2024-06-06,4.92
435,Krishna Singh,Delhi,2024-09-15,4.38
436,Aarav Khan,Hyderabad,2024-01-25,4.4
437,Krishna Khan,Pune,2024-11-30,3.51
438,Reyansh Reddy,Bangalore,2024-02-25,4.59
439,Sai Sharma,Hyderabad,2024-07-25,3.58
440,Vihaan Verma,Pune,2024-10-14,3.93
441,Ishaan Gupta,Kolkata,2024-07-16,4.32
442,Kabir Patel,Delhi,2024-11-15,4.96
443,Sai Verma,Pune,2024-07-20,4.91
444,Vihaan Joshi,Pune,2024-03-14,4.1
445,Aarav Sharma,Delhi,2024-01-21,4.57
446,Ishaan Gupta,Delhi,2024-08-30,4.41
447,Aditya Verma,Pune,2024-09-20,3.98
448,Kabir Khan,Pune,2024-07-20,4.0
449,Ishaan Gupta,Chennai,2024-09-17,4.34
450,Aarav Verma,Bangalore,2024-08-31,4.51
451,Kabir Khan,Kolkata,2024-08-01,4.85
452,Aarav Joshi,Hyderabad,2024-12-18,3.9
453,Kabir Joshi,Delhi,2024-12-01,4.58
454,Krishna Reddy,Pune,2024-10-25,4.44
455,Reyansh Reddy,Kolkata,2024-11-13,4.52
456,Kabir Patel,Delhi,2024-01-17,3.53
457,Reyansh Reddy,Hyderabad,2024-06-09,4.54
458,Ishaan Joshi,Hyderabad,2024-07-29,4.81
459,Aditya Yadav,Delhi,2024-02-01,4.34
460,Krishna Yadav,Hyderabad,2024-12-05,3.97
461,Krishna Yadav,Bangalore,2024-03-29,4.32
462,Arjun Joshi,Hyderabad,2024-12-12,3.79
463,Arjun Yadav,Bangalore,2024-05-06,3.84
464,Arjun Singh,Chennai,2024-06-01,4.56
465,Krishna Verma,Pune,2024-06-11,4.9
466,Arjun Patel,Pune,2024-05-20,4.51
467,Reyansh Verma,Kolkata,2024-07-13,4.71
468,Aarav Khan,Chennai,2024-05-28,3.62
469,Arjun Gupta,Delhi,2024-08-14,3.8
470,Arjun Yadav,Chennai,2024-10-02,3.91
471,Kabir Joshi,Delhi,2024-02-25,3.86
472,Ishaan Singh,Chennai,2024-12-08,3.85
473,Reyansh Verma,Chennai,2024-02-21,4.21
474,Aditya Sharma,Pune,2024-12-14,4.97
475,Reyansh Gupta,Hyderabad,2024-03-21,4.48
476,Sai Khan,Chennai,2024-05-27,3.59
477,Kabir Singh,Pune,2024-02-15,4.61
478,Aditya Nair,Kolkata,2024-01-20,3.76
479,Reyansh Gupta,Delhi,2024-01-19,4.9
480,Aarav Sharma,Bangalore,2024-05-28,4.35
481,Sai Khan,Hyderabad,2024-02-24,4.98
482,Ishaan Gupta,Delhi,2024-10-05,4.78
483,Arjun Singh,Kolkata,2024-08-27,3.67
484,Krishna Khan,Chennai,2024-03-24,3.78
485,Arjun Joshi,Chennai,2024-06-21,4.64
486,Kabir Nair,Kolkata,2024-03-30,4.14
487,Vivaan Nair,Chennai,2024-06-16,3.64
488,Krishna Verma,Delhi,2024-03-12,3.51
489,Vihaan Gupta,Kolkata,2024-07-15,3.9
490,Arjun Joshi,Chennai,2024-06-17,4.36
491,Sai Singh,Mumbai,2024-05-13,4.5
492,Arjun Reddy,Hyderabad,2024-08-26,4.53
493,Arjun Patel,Chennai,2024-12-26,4.87
494,Sai Joshi,Delhi,2024-05-31,3.83
495,Krishna Reddy,Hyderabad,2024-03-09,4.62
496,Sai Nair,Chennai,2024-11-06,4.32
497,Ishaan Singh,Kolkata,2024-08-29,3.87
498,Vivaan Yadav,Hyderabad,2024-11-01,4.29
499,Vivaan Joshi,Mumbai,2024-07-04,3.59
500,Ishaan Singh,Pune,2024-10-07,4.3
501,Sai Yadav,Hyderabad,2024-03-25,3.67
502,Kabir Gupta,Mumbai,2024-04-15,4.85
503,Aarav Gupta,Delhi,2024-08-16,4.27
504,Kabir Sharma,Pune,2024-08-21,4.19
505,Aarav Nair,Bangalore,2024-06-06,4.72
506,Kabir Patel,Mumbai,2024-04-21,4.14
507,Vivaan Yadav,Mumbai,2024-12-24,4.9
508,Krishna Sharma,Bangalore,2024-02-05,4.11
509,Reyansh Verma,Hyderabad,2024-03-10,4.17
510,Reyansh Patel,Chennai,2024-07-12,4.95
